N,Тема,Формула,Ответ
1,Оценка сознания,2⁴,16
2,Контрольные листы процедур,2⁵,32
3,Сигналы тревоги монитора,2³,8
4,Проверка перед введением лекарства,2⁶,64
5,Двоичный код симптомов,1010₂,"Боль, Головокружение"
6,Инфузомат: режимы работы,2⁴ - 1,15
7,Двоичная запись температуры,"37=100101₂, 38=100110₂, 39=100111₂","100101, 100110, 100111"
8,Перевод двоичного кода пациента,10110₂ = 16+4+2,22
9,Комбинации препаратов,2⁵ - 1,31
10,Факторы риска пролежней,"C(6,3)+C(6,4)+C(6,5)+C(6,6)",42
11,"Мониторинг жизненных показателей (4 параметра: АД, пульс, температура, сатурация)",2⁴,16
12,Перевод в десятичную: 11011₂,16+8+0+2+1,27
13,Проверка аварийного оборудования (5 позиций),2⁵,32
14,Комбинации с ровно 2 факторами из 5,"C(5,2)",10
15,Сложение двоичных чисел: 1011₂ + 1101₂,11+13=24,11000₂
16,Шкала оценки боли (6 параметров да/нет),2⁶,64
17,Перевод 45₁₀ в двоичную,45÷2,101101₂
18,Время приёма лекарств (3 времени: утро/день/вечер),2³ - 1,7
19,Код пациента 10011₂ - какие параметры активны?,16+0+0+2+1,19
20,Меры инфекционного контроля (7 мер),2⁷,128
21,Сравнение: 1110₂ и 1011₂,14 > 11,1110₂ больше
22,Неврологический осмотр (5 рефлексов),2⁵,32
23,Умножение двоичных: 101₂ × 11₂,5×3=15,1111₂
24,Лабораторные тесты (6 тестов: норма/патология),2⁶,64
25,"Комбинации из 4 параметров, минимум 2 активных","C(4,2)+C(4,3)+C(4,4)",11
